,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO220902,2.5,7.67,2.17,0.83,74.17,12.67,Skin-Melanoma
DO37424,1.08,8.6,1.08,2.15,75.27,11.83,Skin-Melanoma
DO37531,1.21,5.65,1.01,0.4,76.01,15.73,Skin-Melanoma
DO37703,0.92,3.23,3.69,0.46,75.58,16.13,Skin-Melanoma
DO220912,1.28,3.85,1.03,0.77,78.46,14.62,Skin-Melanoma
DO37440,1.23,4.1,1.23,0.82,77.05,15.57,Skin-Melanoma
DO220898,4.43,4.93,0.49,1.97,72.41,15.76,Skin-Melanoma
DO220910,2.59,0.86,2.59,0.0,77.59,16.38,Skin-Melanoma
DO220881,1.98,3.39,1.41,0.85,79.1,13.28,Skin-Melanoma
DO220845,0.0,0.0,36.36,18.18,45.45,0.0,Skin-Melanoma
DO37659,1.69,3.08,1.38,0.15,79.38,14.31,Skin-Melanoma
DO220884,2.58,2.58,3.61,0.52,79.9,10.82,Skin-Melanoma
DO220894,1.63,2.72,1.09,3.8,76.09,14.67,Skin-Melanoma
DO220861,2.15,6.45,2.15,0.0,68.82,20.43,Skin-Melanoma
DO220871,4.35,0.0,13.04,8.7,39.13,34.78,Skin-Melanoma
DO220848,0.0,11.11,11.11,0.0,33.33,44.44,Skin-Melanoma
DO220860,3.96,5.94,0.99,1.98,75.25,11.88,Skin-Melanoma
DO37409,1.32,5.26,1.97,1.32,76.64,13.49,Skin-Melanoma
DO220859,1.21,4.24,3.64,1.21,73.94,15.76,Skin-Melanoma
DO220911,2.14,4.27,1.07,0.21,75.64,16.67,Skin-Melanoma
DO37587,7.41,3.7,7.41,0.0,62.96,18.52,Skin-Melanoma
DO37627,2.94,4.9,3.92,0.0,71.57,16.67,Skin-Melanoma
DO37418,0.88,2.63,0.53,0.35,78.63,16.99,Skin-Melanoma
DO220891,1.24,2.31,1.74,0.83,78.02,15.87,Skin-Melanoma
DO220841,7.41,3.7,25.93,0.0,44.44,18.52,Skin-Melanoma
DO220878,1.23,2.99,2.82,1.23,63.73,27.99,Skin-Melanoma
DO37445,7.14,0.0,28.57,0.0,28.57,35.71,Skin-Melanoma
DO220892,0.0,3.45,3.45,0.0,89.66,3.45,Skin-Melanoma
DO220913,1.3,3.26,2.28,0.65,76.22,16.29,Skin-Melanoma
DO37427,0.0,8.7,4.35,0.0,65.22,21.74,Skin-Melanoma
DO47331,1.64,7.97,1.64,0.7,74.21,13.83,Skin-Melanoma
DO220842,4.17,10.42,8.33,2.08,45.83,29.17,Skin-Melanoma
DO220846,5.26,15.79,26.32,10.53,31.58,10.53,Skin-Melanoma
DO220908,3.03,2.6,1.73,0.43,79.65,12.55,Skin-Melanoma
DO220879,1.98,3.95,0.0,0.79,81.03,12.25,Skin-Melanoma
DO220904,0.0,14.29,19.05,4.76,23.81,38.1,Skin-Melanoma
DO37750,0.92,5.07,0.92,0.92,73.73,18.43,Skin-Melanoma
DO220895,1.33,3.98,3.1,0.88,80.97,9.73,Skin-Melanoma
DO220849,9.09,13.64,9.09,4.55,45.45,18.18,Skin-Melanoma
DO220857,0.42,1.89,1.26,0.42,82.39,13.63,Skin-Melanoma
DO37426,5.43,2.17,1.09,0.0,75.0,16.3,Skin-Melanoma
DO37599,1.12,2.25,4.49,0.0,69.66,22.47,Skin-Melanoma
DO37719,1.4,5.12,0.93,1.4,74.42,16.74,Skin-Melanoma
DO220853,0.0,3.06,5.1,2.04,77.55,12.24,Skin-Melanoma
DO37758,8.33,5.0,1.67,0.0,66.67,18.33,Skin-Melanoma
DO220906,2.09,3.26,1.26,0.84,76.23,16.32,Skin-Melanoma
DO220865,20.0,6.67,13.33,6.67,26.67,26.67,Skin-Melanoma
DO37782,0.98,2.29,1.09,0.11,79.96,15.58,Skin-Melanoma
DO220882,1.47,4.11,1.76,0.29,77.13,15.25,Skin-Melanoma
DO220867,0.0,8.33,0.0,16.67,50.0,25.0,Skin-Melanoma
DO220850,6.25,15.62,12.5,3.12,37.5,25.0,Skin-Melanoma
DO220905,1.96,3.92,5.88,1.96,70.59,15.69,Skin-Melanoma
DO220880,3.16,6.32,2.11,1.58,66.32,20.53,Skin-Melanoma
