,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO46368,16.67,0.0,16.67,16.67,33.33,16.67,Ovary-AdenoCA
DO30090,13.64,13.64,18.18,4.55,40.91,9.09,Ovary-AdenoCA
DO28521,10.0,3.33,40.0,0.0,30.0,16.67,Ovary-AdenoCA
DO36062,0.0,0.0,100.0,0.0,0.0,0.0,CNS-PiloAstro
DO35934,,,,,,,CNS-PiloAstro
DO36159,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO35898,0.0,0.0,0.0,0.0,50.0,50.0,CNS-PiloAstro
DO36068,,,,,,,CNS-PiloAstro
DO36135,,,,,,,CNS-PiloAstro
DO35871,,,,,,,CNS-PiloAstro
DO36051,,,,,,,CNS-PiloAstro
DO35880,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36009,0.0,50.0,0.0,0.0,50.0,0.0,CNS-PiloAstro
DO35949,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO35991,0.0,33.33,0.0,0.0,0.0,66.67,CNS-PiloAstro
DO35943,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO36155,,,,,,,CNS-PiloAstro
DO35919,,,,,,,CNS-PiloAstro
DO35874,,,,,,,CNS-PiloAstro
DO36171,,,,,,,CNS-PiloAstro
DO36083,,,,,,,CNS-PiloAstro
DO36003,0.0,50.0,25.0,0.0,0.0,25.0,CNS-PiloAstro
DO35967,,,,,,,CNS-PiloAstro
DO35907,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO36123,0.0,100.0,0.0,0.0,0.0,0.0,CNS-PiloAstro
DO35994,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO36065,0.0,100.0,0.0,0.0,0.0,0.0,CNS-PiloAstro
DO36048,,,,,,,CNS-PiloAstro
DO35997,,,,,,,CNS-PiloAstro
DO36131,,,,,,,CNS-PiloAstro
DO35985,,,,,,,CNS-PiloAstro
DO36143,,,,,,,CNS-PiloAstro
DO36099,,,,,,,CNS-PiloAstro
DO36074,,,,,,,CNS-PiloAstro
DO36024,,,,,,,CNS-PiloAstro
DO36021,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36057,,,,,,,CNS-PiloAstro
DO36027,,,,,,,CNS-PiloAstro
DO36087,0.0,0.0,0.0,0.0,50.0,50.0,CNS-PiloAstro
DO36095,,,,,,,CNS-PiloAstro
DO35940,,,,,,,CNS-PiloAstro
DO35889,100.0,0.0,0.0,0.0,0.0,0.0,CNS-PiloAstro
DO36091,33.33,0.0,0.0,0.0,0.0,66.67,CNS-PiloAstro
DO35892,,,,,,,CNS-PiloAstro
DO36015,0.0,0.0,0.0,100.0,0.0,0.0,CNS-PiloAstro
DO35979,0.0,0.0,0.0,0.0,75.0,25.0,CNS-PiloAstro
DO35959,,,,,,,CNS-PiloAstro
DO35925,,,,,,,CNS-PiloAstro
DO36127,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO35869,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO35931,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36042,,,,,,,CNS-PiloAstro
DO36039,,,,,,,CNS-PiloAstro
DO36111,,,,,,,CNS-PiloAstro
DO36103,,,,,,,CNS-PiloAstro
DO36071,,,,,,,CNS-PiloAstro
DO35988,,,,,,,CNS-PiloAstro
DO36033,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36077,,,,,,,CNS-PiloAstro
DO36151,0.0,100.0,0.0,0.0,0.0,0.0,CNS-PiloAstro
DO35877,,,,,,,CNS-PiloAstro
DO35904,,,,,,,CNS-PiloAstro
DO35886,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36000,,,,,,,CNS-PiloAstro
DO35955,0.0,100.0,0.0,0.0,0.0,0.0,CNS-PiloAstro
DO35946,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36018,,,,,,,CNS-PiloAstro
DO36119,,,,,,,CNS-PiloAstro
DO35916,,,,,,,CNS-PiloAstro
DO35937,,,,,,,CNS-PiloAstro
DO35952,,,,,,,CNS-PiloAstro
DO36163,,,,,,,CNS-PiloAstro
DO36054,,,,,,,CNS-PiloAstro
DO36139,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO35982,,,,,,,CNS-PiloAstro
DO36167,,,,,,,CNS-PiloAstro
DO36006,0.0,100.0,0.0,0.0,0.0,0.0,CNS-PiloAstro
DO36080,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO35883,50.0,0.0,0.0,0.0,0.0,50.0,CNS-PiloAstro
DO36012,,,,,,,CNS-PiloAstro
DO35961,0.0,0.0,50.0,0.0,0.0,50.0,CNS-PiloAstro
DO36030,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO35901,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36115,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO35895,0.0,0.0,0.0,0.0,100.0,0.0,CNS-PiloAstro
DO36036,,,,,,,CNS-PiloAstro
DO36107,,,,,,,CNS-PiloAstro
DO35976,,,,,,,CNS-PiloAstro
DO36147,0.0,0.0,0.0,0.0,0.0,100.0,CNS-PiloAstro
DO35928,,,,,,,CNS-PiloAstro
DO35922,,,,,,,CNS-PiloAstro
DO35964,,,,,,,CNS-PiloAstro
DO45049,5.77,42.31,13.46,1.92,23.08,13.46,Liver-HCC
DO48701,16.0,20.0,4.0,20.0,36.0,4.0,Liver-HCC
DO48703,6.67,33.33,26.67,0.0,20.0,13.33,Liver-HCC
DO45269,8.33,33.33,12.5,12.5,20.83,12.5,Liver-HCC
DO44885,5.56,22.22,27.78,0.0,38.89,5.56,Liver-HCC
DO48704,13.33,46.67,6.67,0.0,26.67,6.67,Liver-HCC
DO45273,19.05,33.33,9.52,0.0,33.33,4.76,Liver-HCC
DO45051,10.0,30.0,10.0,0.0,30.0,20.0,Liver-HCC
DO48706,3.03,36.36,18.18,9.09,27.27,6.06,Liver-HCC
DO48709,8.0,32.0,8.0,4.0,32.0,16.0,Liver-HCC
DO45277,10.53,68.42,10.53,0.0,10.53,0.0,Liver-HCC
DO48712,0.0,42.86,28.57,0.0,28.57,0.0,Liver-HCC
DO22935,18.75,25.0,6.25,12.5,25.0,12.5,Liver-HCC
DO48715,0.0,29.41,5.88,11.76,29.41,23.53,Liver-HCC
DO48716,14.71,47.06,8.82,5.88,8.82,14.71,Liver-HCC
DO48717,0.0,20.0,0.0,0.0,60.0,20.0,Liver-HCC
DO45091,6.98,25.58,9.3,4.65,44.19,9.3,Liver-HCC
DO22839,22.81,33.33,3.51,8.77,24.56,7.02,Liver-HCC
DO45055,8.33,25.0,16.67,0.0,41.67,8.33,Liver-HCC
DO48719,20.34,32.2,10.17,6.78,28.81,1.69,Liver-HCC
DO48720,7.14,7.14,7.14,0.0,57.14,21.43,Liver-HCC
DO45061,0.0,42.86,0.0,28.57,28.57,0.0,Liver-HCC
DO48721,23.33,33.33,6.67,6.67,26.67,3.33,Liver-HCC
DO45092,9.09,13.64,4.55,9.09,54.55,9.09,Liver-HCC
DO48723,13.33,26.67,26.67,3.33,26.67,3.33,Liver-HCC
DO48725,0.0,0.0,0.0,0.0,100.0,0.0,Liver-HCC
DO45075,18.52,18.52,14.81,14.81,22.22,11.11,Liver-HCC
DO48727,14.29,33.33,28.57,0.0,23.81,0.0,Liver-HCC
DO48728,33.33,22.22,11.11,0.0,33.33,0.0,Liver-HCC
DO52172,4.17,8.33,4.17,8.33,45.83,29.17,Liver-HCC
DO50820,0.0,25.0,16.67,16.67,33.33,8.33,Liver-HCC
DO48730,5.56,38.89,22.22,0.0,33.33,0.0,Liver-HCC
DO45067,0.0,28.57,14.29,0.0,57.14,0.0,Liver-HCC
DO48732,8.7,26.09,13.04,4.35,39.13,8.7,Liver-HCC
DO45093,10.0,25.0,10.0,0.0,45.0,10.0,Liver-HCC
DO48733,7.14,50.0,0.0,0.0,35.71,7.14,Liver-HCC
DO48736,14.29,14.29,28.57,14.29,28.57,0.0,Liver-HCC
DO48737,35.29,35.29,5.88,0.0,17.65,5.88,Liver-HCC
DO48738,0.0,0.0,0.0,50.0,50.0,0.0,Liver-HCC
DO45094,7.41,44.44,7.41,3.7,22.22,14.81,Liver-HCC
DO48741,0.0,48.15,14.81,3.7,18.52,14.81,Liver-HCC
DO45095,13.33,40.0,26.67,20.0,0.0,0.0,Liver-HCC
DO45096,14.71,38.24,5.88,5.88,26.47,8.82,Liver-HCC
DO48742,13.51,27.03,8.11,0.0,32.43,18.92,Liver-HCC
DO48743,0.0,22.22,11.11,16.67,33.33,16.67,Liver-HCC
DO44982,15.0,22.5,17.5,5.0,30.0,10.0,Liver-HCC
DO48747,20.0,0.0,30.0,10.0,30.0,10.0,Liver-HCC
DO22896,12.9,22.58,19.35,16.13,22.58,6.45,Liver-HCC
DO48751,10.71,39.29,17.86,7.14,14.29,10.71,Liver-HCC
DO48753,15.38,30.77,0.0,0.0,38.46,15.38,Liver-HCC
DO45097,12.5,25.0,12.5,4.17,29.17,16.67,Liver-HCC
DO48757,17.65,41.18,11.76,0.0,17.65,11.76,Liver-HCC
DO22932,0.0,13.64,22.73,9.09,40.91,13.64,Liver-HCC
DO48759,13.33,40.0,20.0,0.0,26.67,0.0,Liver-HCC
DO45099,5.88,29.41,17.65,5.88,35.29,5.88,Liver-HCC
DO48760,5.88,29.41,23.53,5.88,29.41,5.88,Liver-HCC
DO48761,9.09,18.18,27.27,9.09,27.27,9.09,Liver-HCC
DO50772,26.67,53.33,0.0,6.67,6.67,6.67,Liver-HCC
DO45101,15.38,46.15,15.38,0.0,15.38,7.69,Liver-HCC
DO44889,10.53,21.05,10.53,5.26,47.37,5.26,Liver-HCC
DO50774,11.11,11.11,0.0,0.0,72.22,5.56,Liver-HCC
DO219580,0.0,12.5,37.5,0.0,37.5,12.5,Liver-HCC
DO50776,13.33,37.78,13.33,4.44,24.44,6.67,Liver-HCC
DO45103,11.11,33.33,11.11,0.0,11.11,33.33,Liver-HCC
DO45064,0.0,29.41,5.88,5.88,35.29,23.53,Liver-HCC
DO50778,20.0,20.0,10.0,0.0,40.0,10.0,Liver-HCC
DO22970,8.7,26.09,4.35,4.35,30.43,26.09,Liver-HCC
DO50780,8.0,40.0,18.0,0.0,30.0,4.0,Liver-HCC
DO45105,15.38,30.77,7.69,0.0,46.15,0.0,Liver-HCC
DO50783,26.32,15.79,5.26,0.0,36.84,15.79,Liver-HCC
DO45057,9.09,40.91,9.09,0.0,31.82,9.09,Liver-HCC
DO50785,22.22,27.78,11.11,0.0,16.67,22.22,Liver-HCC
DO22860,23.08,7.69,7.69,0.0,23.08,38.46,Liver-HCC
DO50787,16.67,27.78,22.22,0.0,27.78,5.56,Liver-HCC
DO50789,9.09,18.18,18.18,9.09,27.27,18.18,Liver-HCC
DO45109,20.0,20.0,0.0,20.0,30.0,10.0,Liver-HCC
DO50791,7.14,28.57,7.14,0.0,28.57,28.57,Liver-HCC
DO45111,6.9,34.48,27.59,3.45,20.69,6.9,Liver-HCC
DO50793,3.7,44.44,3.7,7.41,29.63,11.11,Liver-HCC
DO22884,9.09,27.27,9.09,0.0,36.36,18.18,Liver-HCC
DO50796,0.0,23.08,15.38,7.69,38.46,15.38,Liver-HCC
DO45113,0.0,50.0,0.0,0.0,50.0,0.0,Liver-HCC
DO50798,11.11,44.44,13.89,0.0,19.44,11.11,Liver-HCC
DO45073,3.7,29.63,22.22,7.41,18.52,18.52,Liver-HCC
DO50799,0.0,35.0,30.0,0.0,10.0,25.0,Liver-HCC
DO45115,13.33,26.67,16.67,0.0,30.0,13.33,Liver-HCC
DO50800,0.0,33.33,13.33,0.0,40.0,13.33,Liver-HCC
DO45117,13.33,23.33,13.33,3.33,30.0,16.67,Liver-HCC
DO22866,11.76,23.53,11.76,0.0,47.06,5.88,Liver-HCC
DO22854,9.68,22.58,16.13,9.68,25.81,16.13,Liver-HCC
DO44832,23.61,25.0,23.61,2.78,20.83,4.17,Liver-HCC
DO50802,5.26,15.79,15.79,5.26,52.63,5.26,Liver-HCC
DO45119,23.68,26.32,7.89,7.89,28.95,5.26,Liver-HCC
DO22953,17.24,13.79,6.9,10.34,37.93,13.79,Liver-HCC
DO23023,2.94,2.94,23.53,11.76,44.12,14.71,Liver-HCC
DO50803,8.7,21.74,2.17,4.35,54.35,8.7,Liver-HCC
DO44919,13.51,21.62,21.62,5.41,18.92,18.92,Liver-HCC
DO50804,12.2,46.34,12.2,4.88,24.39,0.0,Liver-HCC
DO50805,20.0,22.86,14.29,0.0,17.14,25.71,Liver-HCC
DO50806,16.0,32.0,16.0,0.0,28.0,8.0,Liver-HCC
DO45121,0.0,36.36,9.09,0.0,45.45,9.09,Liver-HCC
DO22998,0.0,50.0,0.0,0.0,50.0,0.0,Liver-HCC
DO50807,5.88,23.53,11.76,5.88,29.41,23.53,Liver-HCC
DO44883,2.38,23.81,14.29,4.76,42.86,11.9,Liver-HCC
DO50808,16.67,38.89,11.11,0.0,27.78,5.56,Liver-HCC
DO45085,5.71,28.57,17.14,5.71,31.43,11.43,Liver-HCC
DO45123,10.71,17.86,21.43,7.14,32.14,10.71,Liver-HCC
DO50811,3.57,32.14,14.29,0.0,28.57,21.43,Liver-HCC
DO45083,10.0,30.0,6.67,10.0,33.33,10.0,Liver-HCC
DO45071,17.24,20.69,17.24,10.34,31.03,3.45,Liver-HCC
DO50813,16.0,36.0,4.0,8.0,20.0,16.0,Liver-HCC
DO48518,0.0,21.05,10.53,5.26,31.58,31.58,Liver-HCC
DO45125,16.67,0.0,0.0,0.0,66.67,16.67,Liver-HCC
DO50814,16.13,41.94,22.58,6.45,6.45,6.45,Liver-HCC
DO45127,29.17,27.08,10.42,6.25,18.75,8.33,Liver-HCC
DO50815,12.5,21.88,15.62,6.25,28.12,15.62,Liver-HCC
DO23508,5.41,29.73,18.92,5.41,37.84,2.7,Liver-HCC
DO50816,21.74,26.09,0.0,8.7,21.74,21.74,Liver-HCC
DO45047,0.0,12.5,12.5,0.0,25.0,50.0,Liver-HCC
DO50817,7.69,15.38,7.69,5.13,48.72,15.38,Liver-HCC
DO45129,9.52,52.38,4.76,9.52,19.05,4.76,Liver-HCC
DO50818,17.65,26.47,14.71,2.94,26.47,11.76,Liver-HCC
DO45029,8.33,33.33,16.67,0.0,16.67,25.0,Liver-HCC
DO50819,15.38,53.85,15.38,0.0,15.38,0.0,Liver-HCC
DO50822,7.69,38.46,15.38,3.85,26.92,7.69,Liver-HCC
DO23509,4.55,40.91,22.73,0.0,27.27,4.55,Liver-HCC
DO45131,12.5,12.5,25.0,0.0,37.5,12.5,Liver-HCC
DO50825,3.23,38.71,12.9,3.23,25.81,16.13,Liver-HCC
DO45133,5.88,29.41,5.88,11.76,38.24,8.82,Liver-HCC
DO48552,9.09,9.09,9.09,0.0,63.64,9.09,Liver-HCC
DO50827,18.75,6.25,18.75,0.0,50.0,6.25,Liver-HCC
DO45009,5.56,16.67,22.22,0.0,22.22,33.33,Liver-HCC
DO45135,14.29,28.57,0.0,0.0,42.86,14.29,Liver-HCC
DO44930,0.0,27.27,9.09,0.0,45.45,18.18,Liver-HCC
DO50829,15.38,30.77,30.77,0.0,0.0,23.08,Liver-HCC
DO45069,0.0,31.82,18.18,0.0,40.91,9.09,Liver-HCC
DO50831,9.09,27.27,0.0,9.09,36.36,18.18,Liver-HCC
DO45137,15.38,15.38,23.08,0.0,38.46,7.69,Liver-HCC
DO50832,9.38,40.62,6.25,6.25,34.38,3.12,Liver-HCC
DO44872,6.45,22.58,9.68,3.23,32.26,25.81,Liver-HCC
DO45139,8.93,37.5,14.29,7.14,25.0,7.14,Liver-HCC
DO50834,12.0,36.0,12.0,0.0,36.0,4.0,Liver-HCC
DO45141,21.05,21.05,26.32,0.0,26.32,5.26,Liver-HCC
DO50837,0.0,33.33,0.0,16.67,50.0,0.0,Liver-HCC
DO45143,12.5,18.75,18.75,6.25,31.25,12.5,Liver-HCC
DO48505,9.38,46.88,6.25,6.25,25.0,6.25,Liver-HCC
DO50839,9.52,23.81,14.29,4.76,33.33,14.29,Liver-HCC
DO23510,35.0,10.0,25.0,0.0,20.0,10.0,Liver-HCC
DO50840,11.76,29.41,11.76,0.0,47.06,0.0,Liver-HCC
DO45145,17.24,41.38,13.79,3.45,20.69,3.45,Liver-HCC
DO50842,3.23,22.58,9.68,3.23,45.16,16.13,Liver-HCC
DO23028,7.41,25.93,22.22,14.81,22.22,7.41,Liver-HCC
DO23073,20.0,20.0,10.0,0.0,40.0,10.0,Liver-HCC
DO45147,13.33,33.33,6.67,6.67,33.33,6.67,Liver-HCC
DO50844,14.63,26.83,9.76,9.76,21.95,17.07,Liver-HCC
DO23512,0.0,40.0,15.0,5.0,40.0,0.0,Liver-HCC
DO50845,10.0,20.0,20.0,0.0,50.0,0.0,Liver-HCC
DO44966,22.22,3.7,3.7,7.41,40.74,22.22,Liver-HCC
DO45149,0.0,9.09,27.27,0.0,45.45,18.18,Liver-HCC
DO44978,12.0,24.0,20.0,0.0,32.0,12.0,Liver-HCC
DO45151,5.88,29.41,17.65,11.76,23.53,11.76,Liver-HCC
DO50848,27.78,27.78,22.22,5.56,16.67,0.0,Liver-HCC
DO50850,0.0,50.0,7.14,7.14,14.29,21.43,Liver-HCC
DO50851,8.82,29.41,11.76,8.82,23.53,17.65,Liver-HCC
DO45153,7.89,39.47,5.26,7.89,31.58,7.89,Liver-HCC
DO45155,8.7,47.83,17.39,0.0,13.04,13.04,Liver-HCC
DO45079,0.0,22.73,18.18,9.09,36.36,13.64,Liver-HCC
DO45157,12.5,0.0,25.0,0.0,37.5,25.0,Liver-HCC
DO45045,8.33,33.33,16.67,8.33,25.0,8.33,Liver-HCC
DO45159,11.76,23.53,11.76,5.88,29.41,17.65,Liver-HCC
DO45161,7.69,42.31,7.69,3.85,19.23,19.23,Liver-HCC
DO50855,25.0,8.33,8.33,16.67,41.67,0.0,Liver-HCC
DO45163,10.71,39.29,7.14,3.57,28.57,10.71,Liver-HCC
DO50857,21.43,14.29,35.71,10.71,17.86,0.0,Liver-HCC
DO23513,14.81,14.81,22.22,7.41,18.52,22.22,Liver-HCC
DO44744,7.14,42.86,7.14,7.14,21.43,14.29,Liver-HCC
DO44875,0.0,0.0,0.0,50.0,50.0,0.0,Liver-HCC
DO50859,9.38,46.88,21.88,9.38,9.38,3.12,Liver-HCC
DO45165,25.0,20.83,0.0,0.0,37.5,16.67,Liver-HCC
DO44974,50.85,13.56,1.69,8.47,23.73,1.69,Liver-HCC
DO45167,0.0,66.67,0.0,0.0,16.67,16.67,Liver-HCC
DO45065,0.0,16.67,16.67,0.0,33.33,33.33,Liver-HCC
DO45169,11.54,26.92,15.38,3.85,34.62,7.69,Liver-HCC
DO52171,2.44,24.39,19.51,4.88,39.02,9.76,Liver-HCC
DO23514,12.0,44.0,12.0,4.0,12.0,16.0,Liver-HCC
DO45171,9.52,42.86,0.0,0.0,38.1,9.52,Liver-HCC
DO44890,4.0,32.0,8.0,8.0,28.0,20.0,Liver-HCC
DO48672,15.38,17.95,15.38,2.56,33.33,15.38,Liver-HCC
DO23515,4.76,23.81,23.81,4.76,33.33,9.52,Liver-HCC
DO45173,11.76,35.29,11.76,5.88,29.41,5.88,Liver-HCC
DO45175,0.0,46.67,20.0,0.0,20.0,13.33,Liver-HCC
DO45089,4.35,26.09,21.74,4.35,21.74,21.74,Liver-HCC
DO45177,15.38,38.46,0.0,7.69,30.77,7.69,Liver-HCC
DO45043,11.54,30.77,7.69,3.85,34.62,11.54,Liver-HCC
DO45179,5.0,25.0,20.0,0.0,45.0,5.0,Liver-HCC
DO44806,23.81,23.81,4.76,0.0,33.33,14.29,Liver-HCC
DO45181,13.64,13.64,9.09,9.09,36.36,18.18,Liver-HCC
DO45183,14.29,7.14,14.29,7.14,50.0,7.14,Liver-HCC
DO45185,7.14,50.0,14.29,2.38,21.43,4.76,Liver-HCC
DO22836,6.52,30.43,28.26,2.17,23.91,8.7,Liver-HCC
DO45187,0.0,33.33,0.0,0.0,66.67,0.0,Liver-HCC
DO45189,10.0,0.0,20.0,0.0,50.0,20.0,Liver-HCC
DO45077,8.33,37.5,0.0,4.17,33.33,16.67,Liver-HCC
DO48674,16.67,30.0,10.0,6.67,20.0,16.67,Liver-HCC
DO45191,20.0,40.0,20.0,0.0,20.0,0.0,Liver-HCC
DO44888,9.65,26.32,7.89,3.51,41.23,11.4,Liver-HCC
DO45193,5.41,27.03,27.03,0.0,27.03,13.51,Liver-HCC
DO23516,26.42,33.96,9.43,3.77,18.87,7.55,Liver-HCC
DO22914,11.11,27.78,22.22,0.0,22.22,16.67,Liver-HCC
DO23517,11.11,33.33,0.0,3.7,37.04,14.81,Liver-HCC
DO23518,11.76,35.29,11.76,0.0,35.29,5.88,Liver-HCC
DO48677,13.33,33.33,6.67,0.0,43.33,3.33,Liver-HCC
DO22994,7.14,14.29,14.29,7.14,35.71,21.43,Liver-HCC
DO45197,13.33,23.33,16.67,6.67,26.67,13.33,Liver-HCC
DO45199,2.33,30.23,11.63,6.98,39.53,9.3,Liver-HCC
DO48679,6.06,30.3,21.21,3.03,27.27,12.12,Liver-HCC
DO45201,9.52,19.05,4.76,9.52,42.86,14.29,Liver-HCC
DO45203,12.12,36.36,12.12,0.0,27.27,12.12,Liver-HCC
DO45205,0.0,44.0,4.0,0.0,36.0,16.0,Liver-HCC
DO22875,11.11,11.11,11.11,0.0,22.22,44.44,Liver-HCC
DO23519,10.0,30.0,20.0,5.0,35.0,0.0,Liver-HCC
DO45207,4.17,50.0,8.33,4.17,16.67,16.67,Liver-HCC
DO23520,0.0,16.67,16.67,16.67,41.67,8.33,Liver-HCC
DO23521,8.33,29.17,4.17,16.67,29.17,12.5,Liver-HCC
DO45209,16.0,24.0,8.0,12.0,28.0,12.0,Liver-HCC
DO23522,11.54,34.62,11.54,3.85,23.08,15.38,Liver-HCC
DO45211,13.04,8.7,0.0,0.0,34.78,43.48,Liver-HCC
DO45213,13.33,20.0,20.0,13.33,26.67,6.67,Liver-HCC
DO23524,20.0,33.33,0.0,0.0,40.0,6.67,Liver-HCC
DO45215,0.0,50.0,0.0,16.67,33.33,0.0,Liver-HCC
DO45217,8.33,33.33,16.67,8.33,16.67,16.67,Liver-HCC
DO45219,18.18,22.73,13.64,4.55,36.36,4.55,Liver-HCC
DO45037,8.82,29.41,20.59,5.88,20.59,14.71,Liver-HCC
DO45221,6.25,43.75,0.0,0.0,31.25,18.75,Liver-HCC
DO23525,6.9,17.24,13.79,6.9,44.83,10.34,Liver-HCC
DO23526,28.57,28.57,28.57,0.0,7.14,7.14,Liver-HCC
DO45041,1.89,24.53,4.72,1.89,19.81,47.17,Liver-HCC
DO45223,16.67,16.67,16.67,0.0,33.33,16.67,Liver-HCC
DO23527,28.57,28.57,28.57,0.0,14.29,0.0,Liver-HCC
DO23528,0.0,10.0,0.0,0.0,50.0,40.0,Liver-HCC
DO44994,11.54,7.69,38.46,3.85,23.08,15.38,Liver-HCC
DO45225,8.7,39.13,8.7,0.0,21.74,21.74,Liver-HCC
DO22986,7.69,7.69,15.38,7.69,30.77,30.77,Liver-HCC
DO45227,0.0,41.38,10.34,0.0,37.93,10.34,Liver-HCC
DO45229,10.0,35.0,5.0,5.0,45.0,0.0,Liver-HCC
DO23529,14.29,42.86,28.57,0.0,14.29,0.0,Liver-HCC
DO48681,5.26,31.58,10.53,0.0,26.32,26.32,Liver-HCC
DO22959,0.0,35.71,14.29,21.43,21.43,7.14,Liver-HCC
DO45233,0.0,41.67,16.67,0.0,41.67,0.0,Liver-HCC
DO23018,6.9,17.24,17.24,10.34,34.48,13.79,Liver-HCC
DO23530,0.0,50.0,0.0,0.0,50.0,0.0,Liver-HCC
DO22929,6.67,13.33,6.67,0.0,46.67,26.67,Liver-HCC
DO45235,11.76,23.53,5.88,5.88,41.18,11.76,Liver-HCC
DO22978,0.0,20.0,30.0,0.0,20.0,30.0,Liver-HCC
DO49695,7.14,21.43,7.14,7.14,50.0,7.14,Liver-HCC
DO23532,0.0,20.0,40.0,0.0,30.0,10.0,Liver-HCC
DO23533,0.0,45.0,10.0,0.0,35.0,10.0,Liver-HCC
DO48682,1.81,22.89,7.83,1.81,24.1,41.57,Liver-HCC
DO23534,13.33,46.67,13.33,0.0,6.67,20.0,Liver-HCC
DO48684,5.26,10.53,21.05,5.26,31.58,26.32,Liver-HCC
DO48686,8.7,26.09,13.04,8.7,30.43,13.04,Liver-HCC
DO48687,20.0,40.0,0.0,0.0,33.33,6.67,Liver-HCC
DO23535,0.0,25.0,20.0,0.0,45.0,10.0,Liver-HCC
DO23536,21.95,36.59,7.32,4.88,17.07,12.2,Liver-HCC
DO45237,21.74,28.99,11.59,4.35,26.09,7.25,Liver-HCC
DO45035,8.0,44.0,12.0,8.0,20.0,8.0,Liver-HCC
DO44877,7.69,23.08,15.38,15.38,23.08,15.38,Liver-HCC
DO23537,15.62,34.38,6.25,3.12,37.5,3.12,Liver-HCC
DO45239,0.0,33.33,22.22,11.11,33.33,0.0,Liver-HCC
DO23048,7.14,3.57,50.0,7.14,21.43,10.71,Liver-HCC
DO23538,7.41,25.93,18.52,0.0,44.44,3.7,Liver-HCC
DO45241,16.67,22.22,11.11,5.56,38.89,5.56,Liver-HCC
DO44828,6.12,22.45,14.29,6.12,40.82,10.2,Liver-HCC
DO23539,10.53,26.32,31.58,5.26,26.32,0.0,Liver-HCC
DO23540,14.29,34.29,14.29,5.71,20.0,11.43,Liver-HCC
DO22956,13.04,26.09,17.39,4.35,34.78,4.35,Liver-HCC
DO48689,21.21,39.39,15.15,3.03,12.12,9.09,Liver-HCC
DO44986,11.76,23.53,29.41,5.88,23.53,5.88,Liver-HCC
DO48691,0.0,53.33,6.67,0.0,33.33,6.67,Liver-HCC
DO22838,8.7,17.39,13.04,4.35,52.17,4.35,Liver-HCC
DO23541,10.34,31.03,10.34,3.45,37.93,6.9,Liver-HCC
DO45247,5.88,35.29,0.0,5.88,29.41,23.53,Liver-HCC
DO23542,7.41,37.04,18.52,3.7,18.52,14.81,Liver-HCC
DO48692,20.0,26.67,6.67,6.67,33.33,6.67,Liver-HCC
DO49659,9.38,15.62,18.75,12.5,34.38,9.38,Liver-HCC
DO23543,7.41,22.22,7.41,11.11,37.04,14.81,Liver-HCC
DO45253,28.57,14.29,0.0,0.0,28.57,28.57,Liver-HCC
DO45255,12.5,37.5,18.75,0.0,25.0,6.25,Liver-HCC
DO48693,10.0,30.0,30.0,0.0,10.0,20.0,Liver-HCC
DO45039,7.14,14.29,11.9,0.0,57.14,9.52,Liver-HCC
DO23544,15.0,20.0,10.0,5.0,40.0,10.0,Liver-HCC
DO45059,12.5,18.75,6.25,6.25,18.75,37.5,Liver-HCC
DO23545,0.0,41.94,9.68,3.23,32.26,12.9,Liver-HCC
DO45087,10.0,25.0,7.5,5.0,42.5,10.0,Liver-HCC
DO23546,15.0,40.0,20.0,0.0,25.0,0.0,Liver-HCC
DO23547,16.67,33.33,0.0,16.67,16.67,16.67,Liver-HCC
DO48694,22.22,27.78,0.0,5.56,27.78,16.67,Liver-HCC
DO23549,5.56,44.44,11.11,5.56,16.67,16.67,Liver-HCC
DO45081,9.09,42.42,6.06,3.03,33.33,6.06,Liver-HCC
DO45257,13.33,0.0,26.67,0.0,46.67,13.33,Liver-HCC
DO52307,10.0,10.0,10.0,20.0,50.0,0.0,Liver-HCC
DO44740,12.5,12.5,18.75,12.5,37.5,6.25,Liver-HCC
