gene	expr	reptime	hic
AKAP5	670466.0	221.0	54.0
AKAP6	127586.0	715.0	-10.0
AKAP7	165730.0	682.0	15.0
AKAP8	494792.0	481.0	28.0
AKAP8L	509601.0	481.0	30.0
AKAP9	674222.0	611.0	16.0
AK9	345757.0	686.0	21.0
AKIRIN1	681587.0	318.0	30.0
AKIRIN2	235638.0	346.0	33.0
AKNA	218424.0	360.0	14.0
AKNAD1	801073.0	236.0	8.0
AKR1A1	873800.0	161.0	27.0
AKR1B1	328321.0	415.0	9.0
AKR1B10	403585.0	319.0	21.0
AKR1B15	403585.0	319.0	21.0
AKR1C1	343868.0	608.0	-13.0
AKR1C2	343868.0	608.0	-13.0
AKR1C3	438967.0	678.0	-14.0
AKR1C4	630098.0	678.0	-21.0
AKR1D1	220333.0	478.0	16.0
AKR1E2	287187.0	559.0	-13.0
AKR7A2	810462.0	448.0	40.0
AKR7A3	810462.0	448.0	40.0
AKR7L	799326.0	448.0	35.0
AKT1	711772.0	247.0	36.0
AKT1S1	1673246.0	205.0	37.0
AKT2	1005838.0	400.0	30.0
AKT3	208930.0	954.0	-4.0
AKTIP	247554.0	403.0	8.0
ALAD	390186.0	297.0	36.0
ALAS1	1114737.0	181.0	52.0
ALAS2	245504.0		8.0
ALB	315782.0	613.0	8.0
ALCAM	165047.0	784.0	-3.0
ALDH16A1	2173457.0	290.0	44.0
ALDH18A1	369001.0	454.0	26.0
ALDH1A1	344512.0	542.0	1.0
ALDH1A2	187239.0	674.0	-1.0
ALDH1A3	378556.0	374.0	0.0
ALDH1B1	272380.0	622.0	3.0
ALDH1L1	203027.0	610.0	30.0
ALDH1L2	244603.0	334.0	33.0
ALDH2	691258.0	242.0	44.0
ALDH3A1	550749.0	220.0	-13.0
ALDH3A2	544087.0	332.0	-2.0
ALDH3B1	1357582.0	356.0	31.0
ALDH3B2	1408104.0	424.0	60.0
ALDH4A1	642600.0	453.0	27.0
ALDH5A1	407627.0	461.0	18.0
ALDH6A1	495634.0	236.0	40.0
ALDH7A1	235232.0	191.0	19.0
ALDH8A1	152922.0	364.0	19.0
ALDH9A1	321831.0	408.0	0.0
ALDOA			
ALDOB	112947.0	898.0	-22.0
ALDOC	1651143.0	225.0	31.0
ALG1	552298.0	419.0	3.0
ALG10	23464.0	1025.0	-29.0
ALG10B	42332.0	589.0	-38.0
ALG11	385945.0	461.0	41.0
ALG12	771339.0	208.0	6.0
ALG13	124127.0		20.0
ALG14	275272.0	425.0	-9.0
ALG1L	213057.0	583.0	19.0
ALG2	203560.0	410.0	37.0
ALG3	1460188.0	257.0	49.0
ALG5	176745.0	650.0	16.0
ALG6	133567.0	477.0	2.0
ALG8	551110.0	208.0	23.0
ALG9	437477.0	182.0	28.0
ALK	202198.0	882.0	19.0
ALKBH1	455772.0	384.0	47.0
ALKBH2	595266.0	487.0	20.0
ALKBH3	437017.0	676.0	6.0
ALKBH4	611052.0	174.0	63.0
ALKBH5	918230.0	192.0	23.0
